"","stim_sex","picID","correct","emotion","race","stimNum","rt","response","partno","sub_sex","acc"
"304","Female","DisgustFemaleWhite","5","Disgust","White","25","2120","5",102,1,1
"314","Male","DisgustMaleWhite3","5","Disgust","White","15","2915","5",102,1,1
"324","Male","AngryMaleWhite2","2","Angry","White","31","1623","4",102,1,0
"334","Male","SurpriseMaleWhite2","6","Surprise","White","22","1150","6",102,1,1
"344","Female","SadFemaleWhite","4","Sad","White","2","1749","4",102,1,1
"354","Male","HappyMaleWhite3","3","Happy","White","10","1379","3",102,1,1
"362","Female","DisgustFemaleWhite3","5","Disgust","White","29","2434","1",102,1,0
"372","Female","AngryFemaleWhite2","2","Angry","White","24","1312","2",102,1,1
"382","Female","NeutralFemaleWhite","7","Neutral","White","18","1297","4",102,1,0
"392","Male","SadMaleWhite2","4","Sad","White","12","1170","4",102,1,1
"402","Male","SurpriseMaleWhite","6","Surprise","White","21","1255","6",102,1,1
"412","Male","NeutralMaleWhite","7","Neutral","White","30","1067","7",102,1,1
"422","Female","HappyFemaleWhite","3","Happy","White","7","1175","3",102,1,1
"432","Male","FearMaleWhite","1","Fear","White","14","1215","1",102,1,1
"442","Male","DisgustMaleWhite5","5","Disgust","White","16","1275","5",102,1,1
"452","Male","HappyMaleWhite2","3","Happy","White","9","4507","3",102,1,1
"462","Male","FearMaleWhite2","1","Fear","White","32","1044","1",102,1,1
"472","Male","DisgustMaleWhite6","5","Disgust","White","17","1250","2",102,1,0
"482","Female","FearFemaleWhite","1","Fear","White","13","1062","1",102,1,1
"492","Female","SurpriseFemaleWhite2","6","Surprise","White","27","1220","6",102,1,1
"502","Female","DisgustFemaleWhite2","5","Disgust","White","26","1315","5",102,1,1
"512","Female","NeutralFemaleWhite2","7","Neutral","White","19","1569","4",102,1,0
"522","Female","AngryFemaleWhite","2","Angry","White","6","1218","2",102,1,1
"532","Male","HappyMaleWhite","3","Happy","White","1","1113","3",102,1,1
"542","Female","SurpriseFemaleWhite","6","Surprise","White","5","1286","7",102,1,0
"552","Male","AngryMaleWhite","2","Angry","White","3","1303","2",102,1,1
"562","Female","FearFemaleWhite2","1","Fear","White","23","936","1",102,1,1
"572","Male","SadMaleWhite","4","Sad","White","11","1278","4",102,1,1
"582","Male","NeutralMaleWhite3","7","Neutral","White","34","1083","7",102,1,1
"592","Female","SadFemaleWhite2","4","Sad","White","4","1177","4",102,1,1
"602","Female","NeutralFemaleWhite3","7","Neutral","White","20","2381","7",102,1,1
"212","Female","HappyFemaleWhite","3","Happy","White","7","2066","1",103,1,0
"315","Male","SurpriseMaleWhite","6","Surprise","White","21","2778","3",103,1,0
"413","Male","NeutralMaleWhite","7","Neutral","White","30","4886","4",103,1,0
"513","Female","DisgustFemaleWhite2","5","Disgust","White","26","360","4",103,1,0
"62","Male","HappyMaleWhite","3","Happy","White","1","1004","3",103,1,1
"72","Female","DisgustFemaleWhite3","5","Disgust","White","29","2587","5",103,1,1
"82","Female","DisgustFemaleWhite","5","Disgust","White","25","2226","6",103,1,0
"92","Male","SadMaleWhite","4","Sad","White","11","393","6",103,1,0
"102","Female","AngryFemaleWhite2","2","Angry","White","24","298","3",103,1,0
"112","Male","HappyMaleWhite3","3","Happy","White","10","813","2",103,1,0
"122","Male","DisgustMaleWhite5","5","Disgust","White","16","300","2",103,1,0
"132","Male","AngryMaleWhite2","2","Angry","White","31","1189","4",103,1,0
"142","Female","FearFemaleWhite2","1","Fear","White","23","406","3",103,1,0
"152","Male","FearMaleWhite2","1","Fear","White","32","706","1",103,1,1
"162","Female","NeutralFemaleWhite2","7","Neutral","White","19","466","3",103,1,0
"172","Female","NeutralFemaleWhite","7","Neutral","White","18","536","5",103,1,0
"182","Female","AngryFemaleWhite","2","Angry","White","6","1055","4",103,1,0
"192","Male","SurpriseMaleWhite2","6","Surprise","White","22","398","3",103,1,0
"202","Female","SadFemaleWhite","4","Sad","White","2","3065","7",103,1,0
"213","Female","SadFemaleWhite2","4","Sad","White","4","346","3",103,1,0
"222","Male","FearMaleWhite","1","Fear","White","14","1717","5",103,1,0
"232","Male","HappyMaleWhite2","3","Happy","White","9","627","4",103,1,0
"242","Male","DisgustMaleWhite6","5","Disgust","White","17","254","4",103,1,0
"252","Female","SurpriseFemaleWhite2","6","Surprise","White","27","729","3",103,1,0
"262","Female","SurpriseFemaleWhite","6","Surprise","White","5","807","7",103,1,0
"275","Male","AngryMaleWhite","2","Angry","White","3","403","3",103,1,0
"285","Female","HappyFemaleWhite3","3","Happy","White","28","223","3",103,1,1
"295","Female","HappyFemaleWhite2","3","Happy","white","8","236","3",103,1,1
"305","Female","NeutralFemaleWhite3","7","Neutral","White","20","421","2",103,1,0
"316","Male","NeutralMaleWhite2","7","Neutral","White","33","265","5",103,1,0
"325","Male","SadMaleWhite2","4","Sad","White","12","353","4",103,1,1
"335","Male","DisgustMaleWhite3","5","Disgust","White","15","113","6",103,1,0
"345","Male","NeutralMaleWhite3","7","Neutral","White","34","148","5",103,1,0
"355","Female","FearFemaleWhite","1","Fear","White","13","235","3",103,1,0
"276","Male","NeutralMaleWhite3","7","Neutral","White","34","5262","7",104,0,1
"286","Female","NeutralFemaleWhite2","7","Neutral","White","19","9814","5",104,0,0
"296","Female","AngryFemaleWhite","2","Angry","White","6","6001","5",104,0,0
"306","Female","FearFemaleWhite2","1","Fear","White","23","1438","1",104,0,1
"317","Female","SadFemaleWhite2","4","Sad","White","4","1804","4",104,0,1
"326","Male","AngryMaleWhite2","2","Angry","White","31","5896","2",104,0,1
"336","Female","SadFemaleWhite","4","Sad","White","2","3882","4",104,0,1
"346","Female","HappyFemaleWhite","3","Happy","White","7","2101","3",104,0,1
"356","Male","SadMaleWhite2","4","Sad","White","12","1704","4",104,0,1
"363","Female","NeutralFemaleWhite","7","Neutral","White","18","2054","7",104,0,1
"373","Female","SurpriseFemaleWhite2","6","Surprise","White","27","6624","6",104,0,1
"383","Female","DisgustFemaleWhite","5","Disgust","White","25","2725","5",104,0,1
"393","Male","HappyMaleWhite3","3","Happy","White","10","1417","3",104,0,1
"403","Male","HappyMaleWhite2","3","Happy","White","9","1807","7",104,0,0
"414","Male","FearMaleWhite2","1","Fear","White","32","1667","1",104,0,1
"423","Male","FearMaleWhite","1","Fear","White","14","1126","1",104,0,1
"433","Female","DisgustFemaleWhite2","5","Disgust","White","26","2305","5",104,0,1
"443","Male","SadMaleWhite","4","Sad","White","11","5850","4",104,0,1
"453","Female","HappyFemaleWhite3","3","Happy","White","28","2915","3",104,0,1
"463","Male","SurpriseMaleWhite2","6","Surprise","White","22","5451","6",104,0,1
"473","Female","AngryFemaleWhite2","2","Angry","White","24","1606","2",104,0,1
"483","Female","HappyFemaleWhite2","3","Happy","white","8","2386","3",104,0,1
"493","Female","DisgustFemaleWhite3","5","Disgust","White","29","4461","5",104,0,1
"503","Male","AngryMaleWhite","2","Angry","White","3","1501","2",104,0,1
"514","Male","NeutralMaleWhite2","7","Neutral","White","33","1866","7",104,0,1
"523","Male","DisgustMaleWhite6","5","Disgust","White","17","1538","5",104,0,1
"533","Male","HappyMaleWhite","3","Happy","White","1","1947","3",104,0,1
"543","Male","NeutralMaleWhite","7","Neutral","White","30","1445","7",104,0,1
"553","Male","DisgustMaleWhite5","5","Disgust","White","16","4905","5",104,0,1
"563","Female","FearFemaleWhite","1","Fear","White","13","4341","1",104,0,1
"573","Male","DisgustMaleWhite3","5","Disgust","White","15","2875","2",104,0,0
"583","Female","NeutralFemaleWhite3","7","Neutral","White","20","1553","7",104,0,1
"593","Male","SurpriseMaleWhite","6","Surprise","White","21","1264","1",104,0,0
"603","Female","SurpriseFemaleWhite","6","Surprise","White","5","1643","7",104,0,0
"214","Male","FearMaleWhite","1","Fear","White","14","1904","1",105,1,1
"318","Female","AngryFemaleWhite","2","Angry","White","6","2191","2",105,1,1
"415","Male","HappyMaleWhite3","3","Happy","White","10","2611","3",105,1,1
"515","Male","HappyMaleWhite","3","Happy","White","1","2239","3",105,1,1
"63","Male","DisgustMaleWhite3","5","Disgust","White","15","2077","5",105,1,1
"73","Female","FearFemaleWhite","1","Fear","White","13","3177","7",105,1,0
"83","Female","NeutralFemaleWhite","7","Neutral","White","18","3610","7",105,1,1
"93","Male","AngryMaleWhite","2","Angry","White","3","1790","2",105,1,1
"103","Female","SadFemaleWhite2","4","Sad","White","4","3102","4",105,1,1
"113","Female","SurpriseFemaleWhite2","6","Surprise","White","27","8251","6",105,1,1
"123","Female","DisgustFemaleWhite3","5","Disgust","White","29","2894","5",105,1,1
"133","Male","SurpriseMaleWhite","6","Surprise","White","21","2043","6",105,1,1
"143","Male","NeutralMaleWhite3","7","Neutral","White","34","1839","7",105,1,1
"153","Female","DisgustFemaleWhite","5","Disgust","White","25","1820","2",105,1,0
"163","Male","DisgustMaleWhite6","5","Disgust","White","17","10818","7",105,1,0
"173","Female","AngryFemaleWhite2","2","Angry","White","24","2805","2",105,1,1
"183","Male","HappyMaleWhite2","3","Happy","White","9","1730","7",105,1,0
"193","Male","NeutralMaleWhite2","7","Neutral","White","33","1372","7",105,1,1
"203","Male","SadMaleWhite","4","Sad","White","11","1348","4",105,1,1
"215","Male","FearMaleWhite2","1","Fear","White","32","2398","6",105,1,0
"223","Female","FearFemaleWhite2","1","Fear","White","23","2188","6",105,1,0
"233","Female","SadFemaleWhite","4","Sad","White","2","1519","4",105,1,1
"243","Male","SadMaleWhite2","4","Sad","White","12","1319","4",105,1,1
"253","Male","AngryMaleWhite2","2","Angry","White","31","1789","2",105,1,1
"263","Male","NeutralMaleWhite","7","Neutral","White","30","1025","7",105,1,1
"277","Female","SurpriseFemaleWhite","6","Surprise","White","5","1994","1",105,1,0
"287","Female","NeutralFemaleWhite3","7","Neutral","White","20","1707","7",105,1,1
"297","Female","NeutralFemaleWhite2","7","Neutral","White","19","1441","4",105,1,0
"307","Female","HappyFemaleWhite","3","Happy","White","7","2127","3",105,1,1
"319","Female","DisgustFemaleWhite2","5","Disgust","White","26","2467","5",105,1,1
"327","Male","DisgustMaleWhite5","5","Disgust","White","16","3982","5",105,1,1
"337","Female","HappyFemaleWhite2","3","Happy","white","8","2157","3",105,1,1
"347","Male","SurpriseMaleWhite2","6","Surprise","White","22","2566","6",105,1,1
"357","Female","HappyFemaleWhite3","3","Happy","White","28","1977","3",105,1,1
"278","Female","HappyFemaleWhite3","3","Happy","White","28","3466","3",106,1,1
"288","Male","FearMaleWhite2","1","Fear","White","32","12821","1",106,1,1
"298","Female","NeutralFemaleWhite2","7","Neutral","White","19","23675","7",106,1,1
"308","Female","NeutralFemaleWhite3","7","Neutral","White","20","25931","4",106,1,0
"3110","Female","SadFemaleWhite2","4","Sad","White","4","12908","4",106,1,1
"328","Female","HappyFemaleWhite2","3","Happy","white","8","1374","3",106,1,1
"338","Male","FearMaleWhite","1","Fear","White","14","24282","6",106,1,0
"348","Male","HappyMaleWhite2","3","Happy","White","9","4055","7",106,1,0
"358","Male","HappyMaleWhite","3","Happy","White","1","2384","3",106,1,1
"364","Female","DisgustFemaleWhite3","5","Disgust","White","29","9071","1",106,1,0
"374","Female","SadFemaleWhite","4","Sad","White","2","1661","4",106,1,1
"384","Male","AngryMaleWhite2","2","Angry","White","31","1145","2",106,1,1
"394","Female","SurpriseFemaleWhite","6","Surprise","White","5","1128","7",106,1,0
"404","Female","FearFemaleWhite2","1","Fear","White","23","5936","7",106,1,0
"416","Male","SadMaleWhite2","4","Sad","White","12","13389","5",106,1,0
"424","Female","SurpriseFemaleWhite2","6","Surprise","White","27","5738","6",106,1,1
"434","Male","AngryMaleWhite","2","Angry","White","3","1323","2",106,1,1
"444","Female","DisgustFemaleWhite2","5","Disgust","White","26","1269","5",106,1,1
"454","Female","AngryFemaleWhite2","2","Angry","White","24","12670","2",106,1,1
"464","Female","DisgustFemaleWhite","5","Disgust","White","25","5436","1",106,1,0
"474","Female","FearFemaleWhite","1","Fear","White","13","1160","6",106,1,0
"484","Male","SadMaleWhite","4","Sad","White","11","15431","4",106,1,1
"494","Male","NeutralMaleWhite3","7","Neutral","White","34","2274","7",106,1,1
"504","Male","DisgustMaleWhite3","5","Disgust","White","15","2633","5",106,1,1
"516","Female","NeutralFemaleWhite","7","Neutral","White","18","20111","2",106,1,0
"524","Male","DisgustMaleWhite5","5","Disgust","White","16","968","5",106,1,1
"534","Female","AngryFemaleWhite","2","Angry","White","6","13088","1",106,1,0
"544","Male","NeutralMaleWhite2","7","Neutral","White","33","1195","2",106,1,0
"554","Male","DisgustMaleWhite6","5","Disgust","White","17","6061","7",106,1,0
"564","Male","HappyMaleWhite3","3","Happy","White","10","1700","3",106,1,1
"574","Male","SurpriseMaleWhite","6","Surprise","White","21","1615","6",106,1,1
"584","Male","NeutralMaleWhite","7","Neutral","White","30","876","7",106,1,1
"594","Male","SurpriseMaleWhite2","6","Surprise","White","22","1322","6",106,1,1
"604","Female","HappyFemaleWhite","3","Happy","White","7","1253","3",106,1,1
"216","Female","HappyFemaleWhite","3","Happy","White","7","2234","3",107,0,1
"320","Male","NeutralMaleWhite","7","Neutral","White","30","1887","4",107,0,0
"417","Male","FearMaleWhite","1","Fear","White","14","1381","1",107,0,1
"517","Female","SadFemaleWhite","4","Sad","White","2","3211","7",107,0,0
"64","Male","HappyMaleWhite","3","Happy","White","1","2902","3",107,0,1
"74","Female","HappyFemaleWhite3","3","Happy","White","28","1960","3",107,0,1
"84","Female","AngryFemaleWhite2","2","Angry","White","24","1556","7",107,0,0
"94","Male","DisgustMaleWhite5","5","Disgust","White","16","4578","7",107,0,0
"104","Male","HappyMaleWhite2","3","Happy","White","9","775","7",107,0,0
"114","Male","SurpriseMaleWhite2","6","Surprise","White","22","1470","6",107,0,1
"124","Female","DisgustFemaleWhite","5","Disgust","White","25","1743","5",107,0,1
"134","Male","DisgustMaleWhite3","5","Disgust","White","15","1641","5",107,0,1
"144","Female","NeutralFemaleWhite3","7","Neutral","White","20","808","7",107,0,1
"154","Female","SurpriseFemaleWhite2","6","Surprise","White","27","1583","6",107,0,1
